Id Personne;Nom;Prenom;N° INE;Diplôme;Cursus;Régime Inscrip.;Francophone;Filieres
300000;0877432d1026706d;7e805da846a32c3b;b81e3c29b6217927;ING;24 mois;Apprentis;OUI;CYBER
300001;c8eb5bb682575ec8;7a171ac826a6fce4;8478dcb74f21345d;ING;24 mois;Apprentis;OUI;CYBER
300002;cce8038a39d5e085;3964b50af03b9717;22f244f58d669cbe;ING;24 mois;Apprentis;OUI;CYBER
300003;3772a077021721a2;78f64f7fd633dbdd;e131ca3766e4d58e;ING;24 mois;Apprentis;OUI;SE
300004;2e310275dff6c15c;0c8e9df469611a11;f5125227c3712da8;ING;24 mois;Apprentis;OUI;DSAI
300005;a78c49ea20e32684;b27b95e909348334;896a68f812d810a4;ING;24 mois;Apprentis;OUI;DSAI
300006;5ed03241b4d419b1;b673bd4755d05ad7;853c1f76eb97706c;ING;24 mois;Apprentis;OUI;RIO
300007;828bca0385813dba;d3c681d06bd2aa39;9dac946dc59c0996;ING;24 mois;Apprentis;OUI;RIO
300008;aeee6f529a279764;017f2ed6cfc7403d;75e173e4eaede5fe;ING;24 mois;Apprentis;OUI;SE
300009;78f78e2978aa2447;c462ddaed16dc0cf;0b9cd7f78df0cac5;ING;24 mois;Apprentis;OUI;RIO
300010;40c02d4e518ca6ea;ac8d82f01b721076;0474f36e8b535930;ING;24 mois;Apprentis;OUI;SE
300011;cc6273931bdb2a0d;f3dbe4d58fed8a72;8e7eca0fa5f6b8a8;ING;24 mois;Apprentis;OUI;RIO
300012;0627df7ffe0297c7;9bfbdabe898736a3;566f893697b59048;ING;24 mois;Apprentis;OUI;RIO
300013;194f309ffea518f3;2cf21449273d7cee;9d9136682575250d;ING;24 mois;Apprentis;OUI;CYBER
300014;f91799e2786d3748;421599e3e9c8fe21;da80270815fe85df;ING;24 mois;Apprentis;OUI;SE
300015;fbdaa35adf9c1e2a;8a3c0ed16bfe1684;9ef307590d273e34;ING;24 mois;Apprentis;OUI;CYBER
300016;98dff7e4c6428da8;099f4efbacea67c7;d1afcc4f14a3e3e0;ING;24 mois;Apprentis;OUI;SE
300017;d42f8ac2acaf1279;72d33e5901a19bbd;47d5552c7f47e8e8;ING;24 mois;Apprentis;OUI;DSAI
300018;e952eb9d8e96cf37;cb990c801f97b768;4319e1b429ad564b;ING;24 mois;Apprentis;OUI;CYBER
300019;58f9a3e247cb2c08;3eb8cb37f0a72e9d;34119f3374cebd4d;ING;24 mois;Apprentis;OUI;RIO
300020;fd81b6ee7b3bb1c8;63e2601a7462667a;40844853040b7a05;ING;24 mois;Apprentis;OUI;CYBER
300021;14d32feb3e719e01;fcd3fe22a4248ac9;ed336de7daecd3ad;ING;24 mois;Apprentis;OUI;RIO
300022;8b4f2222d3b41a3d;bd199b364f73bb38;7d080589ab054c24;ING;24 mois;Apprentis;OUI;RIO
300023;26cdea5b9a214512;8edfed863bd39f91;7c10696489a30fd5;ING;24 mois;Apprentis;OUI;CYBER
300024;c7b2c1d0e2adcd93;c0a5eb2d37dc2c9a;7a5236bb47348654;ING;24 mois;Apprentis;OUI;DSAI
300025;5feeaa4e2fe981b2;9ee11b922ce1e6af;41e3a2517ee5bb9c;ING;24 mois;Apprentis;OUI;CYBER
300026;a1a2a3c984a24b9c;429ca42db0b956af;67442931a4c4555e;ING;24 mois;Apprentis;OUI;SE
300027;db7e9e779f6bee9c;d56481fb339258e4;d27eb0d1cb7c2b70;ING;24 mois;Apprentis;OUI;CYBER
300028;3a4419f4fe020864;d3979317de23f074;9d0b7d52b20cf1cb;ING;24 mois;Apprentis;OUI;RIO
300029;0b2b73a41ba5ef54;2e196161a9cf8169;b1a83bdceca5ffb8;ING;24 mois;Apprentis;OUI;RIO
300030;d2d59a32a99ed5eb;e1bd812cb504e142;7bbc14ebbe24bca8;ING;24 mois;Apprentis;OUI;CYBER
300031;305fc388e69f6342;e5e2ab29955b7364;7f0bbe4229cfdd24;ING;24 mois;Apprentis;OUI;DSAI
300032;a2eeb454d134955a;7b92868492545a10;2186d0f99f7c9e21;PEI;1 semestre;Auditeur libre;OUI;
300033;5edfe6a4aabc4b3a;7e38e74319cd75aa;65fef9f02ce76b11;PEI;1 semestre;Auditeur libre;OUI;
300034;9ff903d48bcb1c16;b92ce8343cbab46c;1114afe44aa5c9af;PEI;1 semestre;Auditeur libre;OUI;
300035;9f0ba3d90f871f5c;471360ead4d6df14;6afca5eab8f67897;PEI;1 semestre;Auditeur libre;OUI;
300036;996fafb893ccb491;92be8f6688437717;713daf3405dff69a;PEI;1 semestre;Auditeur libre;OUI;
300037;912715d51cf59109;3a9ef4e863a5e850;a965cda2c354fa70;PEI;1 semestre;Auditeur libre;OUI;
300038;908b713e95c939b7;74f4ebdf672eb231;645ae36f2e1e4de1;ING;36 mois;Etudiant;OUI;DSAI$$SPAI
300039;90c80621db212f19;d54dbcecc24b35c4;7009edc77eb48631;ING;36 mois;Etudiant;OUI;ACCQ$$DSAI
300040;076231e171ce7614;97aa7947d9815df1;bcadd49c5f7794e1;ING;36 mois;Etudiant;OUI;RIO$$MODS
300041;4c786a2eb2618c12;66f6a90663f76c7a;9ceb98bfe3fa6bad;ING;36 mois;Etudiant;OUI;ACCQ$$SPAI
300042;408d946a7c7fa8ff;e5b54f511210d472;406eb1ff00d00890;ING;36 mois;Etudiant;OUI;GIN$$RIO
300043;d5334768b8c2bce7;79212cccf1052fda;3176f812815a064c;ING;36 mois;Etudiant;OUI;SE$$DSAI
300044;7cac42b13d72aca0;8ef7bcd5c2972284;c4cab3209eb83425;ING;36 mois;Etudiant;OUI;SPAI$$IMA
300045;d302b2ac09dc275c;54898f425d8d9f2b;87f6e3490cacaead;ING;36 mois;Etudiant;OUI;MODS$$ACCQ
300046;a6fa5ca9f7ac8cb3;650e6e92df49784d;c2efcd1b237b51ca;ING;36 mois;Etudiant;OUI;SPAI$$MACS
300047;03877ebce4b0f39d;234b9ae6fbf3eea2;9130a35755ade7c5;ING;36 mois;Etudiant;OUI;SPAI$$MODS
300048;c06edc0668235ba6;e38facc3bbe5924a;37935b4cd4cd5f55;ING;36 mois;Etudiant;OUI;SLR$$DSAI
300049;ae1b0f46cfdfdef5;207918795ef338b1;e6d3791e8b2e376b;ING;36 mois;Etudiant;OUI;SE$$MACS
300050;d54661b85a99834d;184474a7cf48dce2;2c8befa02eb2c6d6;ING;36 mois;Etudiant;OUI;RIO$$ACCQ
300051;9a4fa113e035ee0d;649582b82b51c97d;2306f247e00a3d4f;ING;36 mois;Etudiant;OUI;SE$$MITRO
300052;33ab94c44205eb64;de62343cbda47827;90966c917fc37f20;ING;36 mois;Etudiant;OUI;GIN$$MITRO
